disease_korean_title,symptoms,okt_symptoms,disease_label
MEF2C 관련 증후군, 반복적인 진전(떨림)과 상동증적 운동장애,반복 적 진전 떨리다 과 상동증 적 운동 장애,144
MEF2C 관련 증후군, 자폐적 행동,자폐 적 행동,144
난청-뇌병증-유사 리이를 동반한 3-메틸클루타코닉 산뇨 (MEGDEL) 증후군,청력 소실,청력 소실,265
난청-뇌병증-유사 리이를 동반한 3-메틸클루타코닉 산뇨 (MEGDEL) 증후군, 뇌병증,뇌 병증,265
난청-뇌병증-유사 리이를 동반한 3-메틸클루타코닉 산뇨 (MEGDEL) 증후군, 섭식 장애,섭식 장애,265
난청-뇌병증-유사 리이를 동반한 3-메틸클루타코닉 산뇨 (MEGDEL) 증후군, 성장 장애,성장 장애,265
난청-뇌병증-유사 리이를 동반한 3-메틸클루타코닉 산뇨 (MEGDEL) 증후군, 근긴장 저하,근 긴장 저하,265
난청-뇌병증-유사 리이를 동반한 3-메틸클루타코닉 산뇨 (MEGDEL) 증후군, 근긴장 이상,근 긴장 이상,265
난청-뇌병증-유사 리이를 동반한 3-메틸클루타코닉 산뇨 (MEGDEL) 증후군, 경직,경직,265
난청-뇌병증-유사 리이를 동반한 3-메틸클루타코닉 산뇨 (MEGDEL) 증후군, 운동발달 장애,운동 발달 장애,265
난청-뇌병증-유사 리이를 동반한 3-메틸클루타코닉 산뇨 (MEGDEL) 증후군, 언어 발달 장애,언어 발달 장애,265
난청-뇌병증-유사 리이를 동반한 3-메틸클루타코닉 산뇨 (MEGDEL) 증후군, 중증 지적장애,중증 지적장애,265
난청-뇌병증-유사 리이를 동반한 3-메틸클루타코닉 산뇨 (MEGDEL) 증후군, 저혈당,저 혈당,265
난청-뇌병증-유사 리이를 동반한 3-메틸클루타코닉 산뇨 (MEGDEL) 증후군, 간장애,간 장애,265
거대방광-미세결장-장연동저하 증후군(MMIHS),복부팽만,복부팽,189
거대방광-미세결장-장연동저하 증후군(MMIHS), 미세결장,미세 결장,189
거대방광-미세결장-장연동저하 증후군(MMIHS), 장관 연동 운동저하,장관 연동 운동 저하,189
거대방광-미세결장-장연동저하 증후군(MMIHS), 담즙성 구토,담즙 성 구토,189
거대방광-미세결장-장연동저하 증후군(MMIHS), 영양결핍,영양 결핍,189
거대방광-미세결장-장연동저하 증후군(MMIHS), 장회전이상,장 회전 이상,189
거대방광-미세결장-장연동저하 증후군(MMIHS), 방광의 팽창 및 수신증,방광 팽창 및 수 신 증,189
거대방광-미세결장-장연동저하 증후군(MMIHS), 신부전,신부전,189
NALCN 관련 장애,선천성 사지 및 안면 구축,선천성 사지 및 안면 구축,148
NALCN 관련 장애, 근육긴장저하,근육 긴장 저하,148
NALCN 관련 장애, 발달지연,발달 지연,148
"발달지연을 동반한 TRAF7 관련 심장, 안면, 말단 기형",발달지연,발달 지연,446
"발달지연을 동반한 TRAF7 관련 심장, 안면, 말단 기형", 심장 기형,심장 기형,446
"발달지연을 동반한 TRAF7 관련 심장, 안면, 말단 기형", 안면기형,안면 기형,446
"발달지연을 동반한 TRAF7 관련 심장, 안면, 말단 기형", 손발기형,손발 기형,446
다논 병,심근병증,심근병증,289
다논 병, 근육병증,근육 병증,289
다논 병, 지적장애,지적장애,289
단일유전자성 홍반성루푸스,발열 또는 전신염증,발열 또는 전신 염증,305
단일유전자성 홍반성루푸스, 피부발진등 자가면역 반응과 관련된 다양한 증상,피부 발진 등 자가면역 반응 관련 되다 다양하다 증상,305
드뷔쿠아 형성이상,단지성 왜소증,단 지성 왜소증,340
드뷔쿠아 형성이상, 안면기형,안면 기형,340
드뷔쿠아 형성이상, 관절 이완과 다발성 탈구,관절 이완 다발 성 탈구,340
드뷔쿠아 형성이상, 척추 및 골간단의 이상,척추 및 골 간단 이상,340
드뷔쿠아 형성이상, 수족골 골화진행,수족 골 골 화 진행,340
드뷔쿠아 형성이상, 지적 장애,지적 장애,340
드뷔쿠아 형성이상, 성인기 비만,성인기 비만,340
루스칸-루미쉬 증후군,대두증,대두 증,370
루스칸-루미쉬 증후군, 지능장애,지능 장애,370
루스칸-루미쉬 증후군, 언어발달지연,언어 발달 지연,370
루스칸-루미쉬 증후군, 사회성부족,사회 성 부족,370
루스칸-루미쉬 증후군, 행동장애,행동 장애,370
루스칸-루미쉬 증후군, 자폐스펙트럼 장애,자폐 스펙트럼 장애,370
루스칸-루미쉬 증후군, 특징적인 얼굴 형태,특징 적 얼굴 형태,370
루스칸-루미쉬 증후군, 과성장,과 성장,370
루스칸-루미쉬 증후군, 비만,비만,370
루스칸-루미쉬 증후군, 손 골연령 증가,손 골 연령 증가,370
루스칸-루미쉬 증후군, 발달장애,발달장애,370
루스칸-루미쉬 증후군, 경련,경련,370
루스칸-루미쉬 증후군, Chiari malformation,Chiari malformation,370
마이어 로키탄스키 쿠스터 하우저 증후군,이차 성징 및 정상적인 외부 생식기의 발달이 확인된 젊은 여성의 1차성 무월경,이차 성 징 및 정상 적 외부 생식기 발달 확인 되다 젊다 여성 1 차 성 무 월경,383
마이어 로키탄스키 쿠스터 하우저 증후군, 자궁 및 질의 상부 2/3가 없음.MRKH 2형은 신장 이상,자궁 및 질의 상부 2/3 가다 없다 MRKH 2 형 신장 이상,383
마이어 로키탄스키 쿠스터 하우저 증후군, 골격 이상,골격 이상,383
마이어 로키탄스키 쿠스터 하우저 증후군, 청각 장애,청각 장애,383
마이어 로키탄스키 쿠스터 하우저 증후군, 심장 기형 등 동반.,심장 기형 등 동반,383
모자이크성 다양한 이수성 증후군1,출생 전후 성장 지연,출생 전후 성장 지연,418
모자이크성 다양한 이수성 증후군1, 소두증,소 두 증,418
모자이크성 다양한 이수성 증후군1, 두개안면 기형,두 개 안면 기형,418
모자이크성 다양한 이수성 증후군1, 뇌전증,뇌전증,418
모자이크성 다양한 이수성 증후군1, 윌름종양,윌름 종양,418
모자이크성 다양한 이수성 증후군1, 지적장애 등,지적장애 등,418
보링-오피츠 증후군,소두증,소 두 증,466
보링-오피츠 증후군, 삼각두증,삼각 증,466
보링-오피츠 증후군, 지적장애,지적장애,466
보링-오피츠 증후군, 발달지연,발달 지연,466
보쉬-분스트라-샤프 시신경위축 증후군,시신경위축,시신경 위축,467
보쉬-분스트라-샤프 시신경위축 증후군, 발달지연,발달 지연,467
보쉬-분스트라-샤프 시신경위축 증후군, 지적장애,지적장애,467
보쉬-분스트라-샤프 시신경위축 증후군, 시력저하,시력 저하,467
Mesomelia-synostoses 증후군(8번 염색체 장완의 13부분의 미세결손 증후군),골형성,골 형성,146
Mesomelia-synostoses 증후군(8번 염색체 장완의 13부분의 미세결손 증후군), 연골형성 부전 증후군으로 중간 지절 형성 부전 (mesomelia ) 및 손목뼈 발목뼈 골유합,연골 형성 부전 증후군 중간 지절 형성 부전 mesomelia 및 손목뼈 발목 뼈 골유합,146
Mesomelia-synostoses 증후군(8번 염색체 장완의 13부분의 미세결손 증후군), 안면 기형,안면 기형,146
8번 염색체 장완의 21.11 부분의 미세결손 증후군,두개안면 이상,두 개 안면 이상,100
8번 염색체 장완의 21.11 부분의 미세결손 증후군, 손발의 이상,손발 이상,100
8번 염색체 장완의 21.11 부분의 미세결손 증후군, 지능저하,지능 저하,100
8번 염색체 장완의 21.11 부분의 미세결손 증후군, 눈의 이상,눈 이상,100
8번 염색체 장완의 22.1 부분의 미세 결손 증후군,특징적인 두개안면 이상,특징 적 두 개 안면 이상,101
9번 염색체 단완의 사염색체증,발달장애,발달장애,104
9번 염색체 단완의 사염색체증, 학습장애,학습장애,104
9번 염색체 단완의 사염색체증, 뇌 철수 기형,뇌 철수 기형,104
9번 염색체 단완의 사염색체증, 팔다리 탈구,팔다리 탈구,104
9번 염색체 단완의 사염색체증, 내반족,내 반 족,104
9번 염색체 단완의 사염색체증, 성장지연,성 장지연,104
9번 염색체 단완의 사염색체증, 심장결손,심장 결손,104
9번 염색체 단완의 사염색체증, 콩팥형성저하,콩팥 형성 저하,104
9번 염색체 단완의 사염색체증, 잠복고환,잠복 고환,104
9번 염색체 단완의 사염색체증, 생식기관 형성저하,생식기관 형성 저하,104
9번 염색체 단완의 사염색체증, 넓은 미간,넓다 밉다 간,104
9번 염색체 단완의 사염색체증, 좁은 턱,좁다 턱,104
9번 염색체 단완의 사염색체증, 손바닥 단일 주름,손바닥 단일 주름,104
9번 염색체 단완의 사염색체증, 짧은 목,짧다 목,104
9번 염색체 단완의 사염색체증, 구개열,구개열,104
9번 염색체 단완의 사염색체증, 골격 발달 저하,골격 발달 저하,104
9번 염색체 단완의 결손,발달지연,발달 지연,103
9번 염색체 단완의 결손, 지능저하,지능 저하,103
9번 염색체 단완의 결손, 성장 장애,성장 장애,103
9번 염색체 단완의 결손, 근육긴장저하,근육 긴장 저하,103
9번 염색체 단완의 결손, 특이적인 얼굴 형태,특이 적 얼굴 형태,103
9번 염색체 단완의 결손, 심장기형,심장 기형,103
9번 염색체 단완의 결손, 척주측만증,척주측만증,103
9번 염색체 단완의 결손, 생식기 기형,생식기 기형,103
9번 염색체 단완의 결손, 위식도 역류,위 식 역류,103
9번 염색체 단완의 결손, 잦은 호흡기와 귀의 감염,잦다 호흡기 귀의 감염,103
ARC 증후군,관절구축,관절 구축,111
ARC 증후군, 신세뇨관 기능이상,신 세뇨관 기능 이상,111
ARC 증후군, 담즙정체,담즙 정체,111
축삭 회전타원체 및 색소침착된 아교세포를 동반한 성인-발병 백질뇌병증(ALSP),성격변화,성격 변화,829
축삭 회전타원체 및 색소침착된 아교세포를 동반한 성인-발병 백질뇌병증(ALSP), 기억력 장애,기억 력 장애,829
축삭 회전타원체 및 색소침착된 아교세포를 동반한 성인-발병 백질뇌병증(ALSP), 운동기능장애,운동 기능 장애,829
축삭 회전타원체 및 색소침착된 아교세포를 동반한 성인-발병 백질뇌병증(ALSP), 치매,치매,829
COL4A1 관련 장애,특징적으로 전신 혈관을 침범하여 뇌혈관 질병,특징 적 전신 혈관 침범 하다 뇌혈관 질병,120
COL4A1 관련 장애, 눈 발달이상,눈 발달 이상,120
COL4A1 관련 장애, 근육병,근육 병,120
COL4A1 관련 장애, 신장이상 등이 나타날 수 있음,신장 이상 등 나타나다 수 있다,120
DYRK1A 증후군,언어발달 지연을 포함한 지적 장애,언어 발달 지연 포함 지적 장애,126
DYRK1A 증후군, 불안증이나 상동행동을 동반하는 자폐성향 질환,불안 증 상동 행동 동반 하다 자폐 성향 질환,126
DYRK1A 증후군, 소두증,소 두 증,126
DYRK1A 증후군, 특징적 얼굴,특징 적 얼굴,126
DYRK1A 증후군, 식이 문제,식이 문제,126
DYRK1A 증후군, 경련,경련,126
DYRK1A 증후군, 과긴장증,과 긴장 증,126
DYRK1A 증후군, 걸음걸이 이상,걸음걸이 이상,126
DYRK1A 증후군, 발 모양 이상,발 모양 이상,126
DYRK1A 증후군, 척추측만증,척추측만증,126
DYRK1A 증후군, 척추후만증,척추 후 증,126
DYRK1A 증후군, 오목 가슴,오목 가슴,126
DYRK1A 증후군, 저신장 등,저 신장 등,126
Dent 질환,저분자량 단백뇨,저 분자량 단백뇨,127
Dent 질환, 아미노산뇨,아미노산 뇨,127
Dent 질환, 고칼슘뇨,고 칼슘 뇨,127
Dent 질환, 성인이되면 신석회증,성인 되다 신 석회 증,127
Dent 질환, 신결석,신결석,127
Dent 질환, 만성신부전,만 성 신부전,127
케이비지 증후군,발달지연 및 큰 치아(특히 중절치)와 특징적인 얼굴 모양(삼각형 얼굴,발달 지연 및 크다 치아 특히 중 절치 오다 특징 적 얼굴 모양 삼각형 얼굴,845
케이비지 증후군, 단두증,단두 증,845
케이비지 증후군, 일자눈썹,일자 눈썹,845
케이비지 증후군, 넓게 벌어진 눈),넓다 벌어지다 눈,845
KID 증후군,각막염,각막염,140
KID 증후군, 어린선,어린선,140
KID 증후군, 난청,난청,140
클리프스트라 증후군,Chromosome 9q34.3 deletion syndrome|9q- syndrome|9q subtelomeric deletion syndrome,Chromosome 9 q 34.3 deletion syndrome 9 q syndrome 9 q subtelomeric deletion syndrome,869
"단신, 시신경 위축 및 펠거-휴엣 이상 증후군",무증상,무증상,302
"단신, 시신경 위축 및 펠거-휴엣 이상 증후군", 골격계이상,골격계 이상,302
"단신, 시신경 위축 및 펠거-휴엣 이상 증후군", 지적장애,지적장애,302
"단신, 시신경 위축 및 펠거-휴엣 이상 증후군", 경련,경련,302
Vici 증후군,심한 발달지연을 보이며 면역저하,심하다 발달 지연 보이 면역 저하,155
Vici 증후군, 심기능 이상 및 다양한 신체부위에 이상을 초래,심 기능 이상 및 다양하다 신체 부위 이상 초래,155
X 염색체장완의 28부분의 중복 증후군,성별에 따른 질환의 중증도가 다름 (남자 > 여자),성별 따르다 질환 중 증도 다르다 남자 여자,157
X 염색체장완의 28부분의 중복 증후군, 지적장애,지적장애,157
X 염색체장완의 28부분의 중복 증후군, 느린 운동발달,느리다 운동 발달,157
X 염색체장완의 28부분의 중복 증후군, 하체 강직,하체 강직,157
X 염색체장완의 28부분의 중복 증후군, 반복적인 호흡기계 감염,반복 적 호흡기 계 감염,157
X 염색체장완의 28부분의 중복 증후군, 간질발작,간질 발작,157
X 염색체장완의 28부분의 중복 증후군, 자폐증,자폐증,157
X 염색체장완의 28부분의 중복 증후군, 위장기능 장애,위장 기능 장애,157
X 염색체장완의 28부분의 중복 증후군, 얼굴기형,얼굴 기형,157
9번 염색체 장완의 결손 증후군,전반적 발달 지연,전반 적 발달 지연,106
9번 염색체 장완의 결손 증후군, 지적 장애,지적 장애,106
9번 염색체 장완의 결손 증후군, 얼굴생김새 이상,얼굴 생김새 이상,106
10단완 11-12 결손 증후군,전반적 발달지연,전반 적 발달 지연,6
10단완 11-12 결손 증후군, 행동장애 (자폐,행동 장애 자폐,6
10단완 11-12 결손 증후군, ADHD),ADHD,6
10단완 11-12 결손 증후군, 저긴장증,저 긴장 증,6
10단완 11-12 결손 증후군, 섭식장애,섭식장애,6
10단완 11-12 결손 증후군, 변비,변비,6
10단완 11-12 결손 증후군, 특징적 얼굴 (양안격리증,특징 적 얼굴 양안 격리 증,6
10단완 11-12 결손 증후군, 튀어나온 앞머리,튀어나오다 앞머리,6
10단완 11-12 결손 증후군, 낮은 콧대 등),낮다 콧대 등,6
1번 염색체 장완의 21.1 부분의 미세결손 증후군,발달 지연을 포함한 다양한 신경학적 증상이 발생할 수 있으며 드물게 심장기형,발달 지연 포함 다양하다 신경학 적 증상 발생 하다 수 있다 드물다 심장 기형,54
1번 염색체 장완의 21.1 부분의 미세결손 증후군, 골격계 기형,골격계 기형,54
1번 염색체 장완의 21.1 부분의 미세결손 증후군, 뇌전증이 발생할 수 있음.,뇌전증 발생 하다 수 있다,54
10번 염색체 장완의 결손 증후군,언어 지연,언어 지연,10
10번 염색체 장완의 결손 증후군, 발달 지연,발달 지연,10
10번 염색체 장완의 결손 증후군, 두개안면 기형,두 개 안면 기형,10
10번 염색체 장완의 결손 증후군, 지적 장애,지적 장애,10
10번 염색체 장완의 결손 증후군, 성장 부진,성장 부진,10
10번 염색체 장완의 결손 증후군, 근긴장 저하,근 긴장 저하,10
10번 염색체 장완의 결손 증후군, 사시,사시,10
12번 염색체 단완의 중복 증후군,얼굴생김새 이상,얼굴 생김새 이상,14
12번 염색체 단완의 중복 증후군, 발달 지연,발달 지연,14
12번 염색체 단완의 중복 증후군, 지적 장애,지적 장애,14
12번 염색체 단완의 중복 증후군, 손가락옆굽음증,손가락 옆 굽다 증,14
12번 염색체 단완의 중복 증후군, 심혈관계 형태 이상,심혈관계 형태 이상,14
12번 염색체 단완의 중복 증후군, 골격 성숙 지연,골격 성숙 지연,14
12번 염색체 단완의 중복 증후군, 저신장,저 신장,14
16단완11.2 미세중복,발달 지연,발달 지연,29
16단완11.2 미세중복, 지적 장애,지적 장애,29
16단완11.2 미세중복, 말과 언어 발달 지연,말 언어 발달 지연,29
16단완11.2 미세중복, 행동 장애,행동 장애,29
16단완11.2 미세중복, 자폐 스펙트럼 장애,자폐 스펙트럼 장애,29
16번 염색체 장완의 중복,근긴장저하증,근 긴장 저하 증,32
16번 염색체 장완의 중복, 자궁 내 성장 지연,자궁 내 성장 지연,32
16번 염색체 장완의 중복, 특징적인 안면 이형성증,특징 적 안면 이형성 증,32
16번 염색체 장완의 중복, 근골격계이상,근 골격계 이상,32
16번 염색체 장완의 중복, 비뇨생식기 이상 및 선천성 심장 결함,비뇨 생식기 이상 및 선천성 심장 결함,32
17단완13.3 미세중복,경증에서 중등도의 발달 지연과 지적 장애,경 증 중등 도의 발달 지연 지적 장애,33
17단완13.3 미세중복, 안면기형,안면 기형,33
17단완13.3 미세중복, 손발 기형,손발 기형,33
17단완13.3 미세중복, 성선기능저하,성 선 기능 저하,33
17번 염색체 장완의 중복 증후군,경증에서 중등도의 발달 지연과 지적 장애,경 증 중등 도의 발달 지연 지적 장애,38
17번 염색체 장완의 중복 증후군, 안면기형,안면 기형,38
17번 염색체 장완의 중복 증후군, 손발 기형,손발 기형,38
17번 염색체 장완의 중복 증후군, 성선기능저하,성 선 기능 저하,38
18번 염색체 장완의 중복 증후군,경증에서 중등도의 발달 지연과 지적 장애,경 증 중등 도의 발달 지연 지적 장애,43
18번 염색체 장완의 중복 증후군, 안면기형,안면 기형,43
18번 염색체 장완의 중복 증후군, 손발 기형,손발 기형,43
18번 염색체 장완의 중복 증후군, 성선기능저하,성 선 기능 저하,43
장림프관확장증,구토,구토,759
장림프관확장증, 단백소실성 장질환,단 백 소 실성 장 질환,759
장림프관확장증, 복통,복통,759
장림프관확장증, 부종,부종,759
장림프관확장증, 설사,설사,759
장림프관확장증, 성장장애,성장 장애,759
장림프관확장증, 오심,오심,759
장림프관확장증, 유미성 복수,유미 성 복수,759
장림프관확장증, 유미성 삼출(흉막강,유미 성 삼 추다 흉 막강,759
장림프관확장증, 심낭강,심낭 강,759
장림프관확장증, 복강),복강,759
재조합 8번 염색체 증후군,심장 기형,심장 기형,765
재조합 8번 염색체 증후군, 요로생식기계 기형,요로 생식기 계 기형,765
재조합 8번 염색체 증후군, 발달 지연,발달 지연,765
재조합 8번 염색체 증후군, 지적 장애,지적 장애,765
재조합 8번 염색체 증후군, 두개안면 기형,두 개 안면 기형,765
재조합 8번 염색체 증후군, 뇌전증,뇌전증,765
재조합 8번 염색체 증후군, 척추측만증,척추측만증,765
젤레오피직 이형성증,특징적인 “Happy” 얼굴 형태: 둥근 얼굴,특징 적 “ Happy ” 얼굴 형태 둥글다 얼굴,786
젤레오피직 이형성증, 짧은 코,짧다 코,786
젤레오피직 이형성증, 빵빵한 볼,빵빵 볼,786
젤레오피직 이형성증, 양안격리증,양안 격리 증,786
젤레오피직 이형성증, 얇은 윗입술,얇다 윗입술,786
젤레오피직 이형성증, 올라간 양쪽 입꼬리,올라가다 양쪽 입 꼬리,786
젤레오피직 이형성증, 매끈한 인중저신장,매끈하다 인중 저 신장,786
젤레오피직 이형성증, 매우 작은 손과 발,매우 작다 손 발,786
젤레오피직 이형성증, 관절 운동성 제한과 구축의 진행피부가 점점 두꺼워짐심장 판막 비대,관절 운동 성 제한 구축 진행 피부 점점 두껍다 짐 심장 판막 비대,786
젤레오피직 이형성증, 폐동맥 협착,폐동맥 협착,786
젤레오피직 이형성증, 심방 중격 결손간비대,심방 중격 결손 간 비대,786
젤레오피직 이형성증, 반복적인 호흡기계 감염 및 중이염,반복 적 호흡기 계 감염 및 중이염,786
젤레오피직 이형성증, 기관 협착장딴지근 및 아킬레스 건의 구축으로 인한 첨촉 보행,기관 협착 장 딴 지근 및 아킬레스 건의 구축 인하다 첨 촉 보행,786
지텔만 증후군,구토,구토,811
지텔만 증후군, 발열과 함께 일시적인 쇠약감,발열 함께 일시 적 쇠약 감,811
지텔만 증후군, 복통,복통,811
지텔만 증후군, 테타니 등이 올 수 있으나 대부분은 무증상,테 타다 등 오다 수 있다 대부분 무증상,811
진행성 가족성 간내 담즙정체증,황달,황달,812
진행성 가족성 간내 담즙정체증, 소양감,소양감,812
진행성 가족성 간내 담즙정체증, 지방흡수장애,지방 흡수 장애,812
진행성 가족성 간내 담즙정체증, 지용성비타민 부족,지용성 비타민 부족,812
진행성 가족성 간내 담즙정체증, 성장장애,성장 장애,812
진행성 가족성 간내 담즙정체증, 간부전,간부전,812
철불응성 철결핍성 빈혈,창백한 피부,창백하다 피부,821
철불응성 철결핍성 빈혈, 허약,허약,821
철불응성 철결핍성 빈혈, 피곤,피곤,821
철불응성 철결핍성 빈혈, 어지러움,어지러움,821
카라실 증후군,서서히 진행하는 치매 증상 (감정 변화 포함),서서히 진행 하다 치매 증상 감정 변화 포함,836
카라실 증후군, 보행 장애 (주로 하지의 강직),보행 장애 주로 하다 강직,836
카라실 증후군, 배뇨 장애,배뇨 장애,836
카라실 증후군, 발음 장애,발음 장애,836
카라실 증후군, 삼킴 장애,삼키다 장애,836
카라실 증후군, 탈모,탈모,836
카라실 증후군, 퇴행성 척추증,퇴 행성 척추 증,836
코핀-시리스 증후군,지적장애와 5번째 손가락이나 발가락 저형성,지적장애 5 번째 손가락 발가락 저 형성,852
코핀-시리스 증후군, 특징적 안면기형,특징 적 안면 기형,852
코헨 증후군,정신운동지연,정신 운동 지연,853
코헨 증후군, 소두증,소 두 증,853
코헨 증후군, 근육긴장 저하,근육 긴장 저하,853
코헨 증후군, 어둔한 운동,어둔 운동,853
코헨 증후군, 이상한 얼굴 모습,이상하다 얼굴 모습,853
코헨 증후군, 고도 근시 및 맥락망막퇴행위축,고도 근시 및 맥락 망막 퇴 행위 축,853
코헨 증후군, 과립백혈구감소증,과립 백혈구 감소 증,853
큐라리노 증후군,앞엉치뼈덩이,앞 엉치뼈 덩이,858
큐라리노 증후군, 엉치뼈의 무형성,엉치뼈 무형 성,858
큐라리노 증후군, 항문직장기형,항문 직장 기형,858
크라이오피린 연관 주기 (발열) 증후군,발열,발열,860
크라이오피린 연관 주기 (발열) 증후군, 발진,발진,860
크라이오피린 연관 주기 (발열) 증후군, 관절통 또는 관절염,관절통 또는 관절염,860
크라이오피린 연관 주기 (발열) 증후군, 근육통,근육통,860
크라이오피린 연관 주기 (발열) 증후군, 두통,두통,860
크라이오피린 연관 주기 (발열) 증후군, 무균성 또는 만성 뇌수막염,무균 성 또는 만성 뇌수막염,860
크라이오피린 연관 주기 (발열) 증후군, 청력 장애,청력 장애,860
크라이오피린 연관 주기 (발열) 증후군, 신경유두부종,신경 유두 부종,860
크라이오피린 연관 주기 (발열) 증후군, 결막염,결막염,860
크라이오피린 연관 주기 (발열) 증후군, 복통,복통,860
크론카이드-카나다 증후군,만성설사,만 성 설사,861
크론카이드-카나다 증후군, 영양장애,영양 장애,861
크론카이드-카나다 증후군, 위장관의 용종증,위 장관 용종 증,861
크론카이드-카나다 증후군, 손발톱의 변화,손발톱 변화,861
크론카이드-카나다 증후군, 탈모,탈모,861
터프팅장증,성장 부진,성장 부진,876
터프팅장증, 소화흡수장애,소화 흡수 장애,876
터프팅장증, 식도폐쇄,식도 폐쇄,876
터프팅장증, 안면기형,안면 기형,876
터프팅장증, 출생초기에 발생하는 난치성 수양성설사,출생 초기 발생 하다 난치 성 수 양성 설사,876
터프팅장증, 항문폐쇄등,항문 폐쇄등,876
미만성 폐림프관종증,피로,피로,433
미만성 폐림프관종증, 오심,오심,433
미만성 폐림프관종증, 흉통,흉통,433
미만성 폐림프관종증, 천명,천명,433
미만성 폐림프관종증, 호흡곤란,호흡 곤란,433
미만성 폐림프관종증, 만성 기침,만성 기침,433
미만성 폐림프관종증, 폐렴,폐렴,433
미만성 폐림프관종증, 기흉,기흉,433
미만성 폐림프관종증, 흉막삼출,흉막삼 추다,433
미만성 폐림프관종증, 심낭삼출,심낭 삼 추다,433
플로우팅 하버 증후군,단신,단신,929
플로우팅 하버 증후군, 말하기 능력 저하,말 하다 능력 저하,929
플로우팅 하버 증후군, 골연령지연,골 연령 지연,929
플로우팅 하버 증후군, 특징적인 얼굴 모양,특징 적 얼굴 모양,929
플로우팅 하버 증후군, 행동장애,행동 장애,929
피어슨 증후군,빈혈,빈혈,933
피어슨 증후군, 호중구감소증,호중 구 감소 증,933
피어슨 증후군, 혈소판감소증,혈소판 감소 증,933
피어슨 증후군, 허약함,허약하다,933
피어슨 증후군, 피곤,피곤,933
피어슨 증후군, 잦은 감염,잦다 감염,933
피어슨 증후군, 멍,멍,933
피어슨 증후군, 설사,설사,933
피어슨 증후군, 복통,복통,933
피어슨 증후군, 체중 증가가 잘 되지 않음,체중 증가 자다 되다 않다,933
피어슨 증후군, 당뇨,당뇨,933
피트 홉킨스 증후군,심한 발달지연 및 지능장애를 보이며 특징적 안면 기형 그리고 주기적 과호흡이나 무호흡 등 불규칙한 호흡패턴을 보임,심하다 발달 지연 및 지능 장애 보이 특징 적 안면 기형 그리고 주 기적 과 호흡 무 호흡 등 불규칙하다 호흡 패턴 보임,936
하쥬-체니 증후군,골용해,골 용해,941
하쥬-체니 증후군, 골통증,골 통증,941
하쥬-체니 증후군, 골다공증,골다공증,941
하쥬-체니 증후군, 골절,골절,941
바라이서-윈터증후군,발달 지연,발달 지연,439
바라이서-윈터증후군, 지적 장애,지적 장애,439
바라이서-윈터증후군, 뇌전증,뇌전증,439
바라이서-윈터증후군, 특징적 얼굴 생김새,특징 적 얼굴 생김새,439
바라이서-윈터증후군, 구순,구순,439
바라이서-윈터증후군, 구개열,구개열,439
바라이서-윈터증후군, 큰뇌이랑증,크다 뇌 증,439
바라이서-윈터증후군, 뇌회결손,뇌회 결손,439
바라이서-윈터증후군, 저신장,저 신장,439
바라이서-윈터증후군, 소두증,소 두 증,439
바라이서-윈터증후군, 척추후측만증,척추 후 측 증,439
바라이서-윈터증후군, 선천 심장 기형,선천 심장 기형,439
바라이서-윈터증후군, 신장 요로계 기형,신장 요로 계 기형,439
바라이서-윈터증후군, 관절 운동 제한,관절 운동 제한,439
바라이서-윈터증후군, 홍채 결손,홍채 결손,439
바라이서-윈터증후군, 망막 결손,망막 결손,439
바라이서-윈터증후군, 근긴장이상증,근 긴장 이상 증,439
비데만-스타이너 증후군,발달지연,발달 지연,499
비데만-스타이너 증후군, 짧은 키,짧다 키,499
비데만-스타이너 증후군, 특징적인 얼굴형태,특징 적 얼굴 형태,499
비데만-스타이너 증후군, 털이 난 팔꿈치,털 난 팔꿈치,499
시니어-로켄 증후군,시력저하,시력 저하,617
시니어-로켄 증후군, 시야장애,시야 장애,617
시니어-로켄 증후군, 야맹증,야맹증,617
시니어-로켄 증후군, 광시증,광시 증,617
시니어-로켄 증후군, 안구진탕,안구진탕,617
3M 증후군,심각한 산전 및 산후 성장 지연,심각하다 산전 및 산후 성장 지연,70
3M 증후군, 특징적인 얼굴 형태,특징 적 얼굴 형태,70
3M 증후군, 정상 지능,정상 지능,70
베인브릿지-로퍼스 증후군,발달장애,발달장애,458
베인브릿지-로퍼스 증후군, 심한 지적장애,심하다 지적장애,458
베인브릿지-로퍼스 증후군, 근육 긴장도 저하,근육 긴장도 저하,458
베인브릿지-로퍼스 증후군, 성장 저하,성장 저하,458
베인브릿지-로퍼스 증후군, 언어장애,언어장애,458
베인브릿지-로퍼스 증후군, 수면장애,수면장애,458
베인브릿지-로퍼스 증후군, 섭식장애,섭식장애,458
베인브릿지-로퍼스 증후군, 특징적인 얼굴 모습,특징 적 얼굴 모습,458
KIF1A 유전자 돌연변이에 의한 신경병증,신경병증,신경 병증,141
KIF1A 유전자 돌연변이에 의한 신경병증, 발달 지연,발달 지연,141
KIF1A 유전자 돌연변이에 의한 신경병증, 지적 장애,지적 장애,141
KIF1A 유전자 돌연변이에 의한 신경병증, 경련,경련,141
KIF1A 유전자 돌연변이에 의한 신경병증, 근육 마비,근육 마비,141
GNAO1 뇌병증,뇌전증,뇌전증,135
GNAO1 뇌병증, 발달 지연,발달 지연,135
