_id,disease_korean_title,related_diseases,diseases_symptoms,cause_diseases
65dc47c7da45daab46acd524,MUTYH-연관 폴립증 (가족성 선종성 폴립증 2형),"가족성 선종성 용종증\n(Familial adenomatous polyposis, FAP)","10~20개 이상의 대장 선종, 과증식성용종, 납작톱니 선종, 십이지장 선종, 갑상선암, 방광암, 난소암",MUTYH 유전자의 돌연변이
65dc47cada45daab46acd526,POU3F3 관련 장애 (Snijders Blok-Fisher 증후군),없음,"발달지연, 인지기능장애, 자폐스펙트럼장애, 뇌기형, 근육긴장저하, 경련","염색체 2번 장완 11-12.1의 결손, POU3F3 유전자의 돌연변이"
65dc47ccda45daab46acd528,쉰젤 기드온 증후군,없음,"특징적인 얼굴모양, 발달지연, 수신증, 뼈 기형, 심장기형, 생식기 기형, 경련",신경발달 과정에 중요한 역할을 하는 것으로 알려져 있는 SETBP1 유전자의 변이
65dc47d1da45daab46acd52a,1번 염색체 단완의 중복 증후군,1번 염색체 단완의 부분 삼염색체\n(Partial trisomy 1p),경증에서 중등도의 발달 지연과 지적 장애,1p 염색체 복제 증후군은 1번 염색체의 단완(p)에 유전 물질이 추가로 복제되어 발생
65dc47d3da45daab46acd52c,22번 염색체 장완의 결손 증후군,스미스-렘리-오피츠 증후군\n(Smith-Lemli-Opitz syndrome)\n알라질증후군\n(Alagille syndrome)\n눈 방실 스펙트럼\n(Oculo-auriculo-vertebral spectrum),"안면부 이형성증, 심장이상, 구개열, 흉선저발달, 저칼슘혈증, 경련, 지적장애, 주의력결핍 및 자폐스펙트럼 장애",22번 염색체 장완부 미세결실
65dc47d6da45daab46acd52e,22번 염색체 장완의 중복 증후군,22번 염색체 장완 11.21부분의 중복증후군\n(22q11.21 duplication syndrome),"인두 기형, 구개열, 언어발달장애, 낮은코, 아래로 기울어진 눈꺼풀 균열(Downslanted palpebral fissures), 몽고주름(epicanthus), 전반적 발달지연, 넓은이마, 두눈먼거리증, 지적장애, 얼굴 중앙부분 후퇴증(midface retrusion), 근육 저긴장증, 좁은얼굴, 신경언어장애, 근육 저긴장증, 좁은얼굴, 신경언어장애 등의 증상이 있습니다. 일부에서는 면역계이상, 불안증, 작은흉선, 주의 결핍 과잉 행동 장애(ADHD), 자폐 스펙트럼 장애, 선천 심혈관 기형(TOF, VSD TGA 등), 소두증, 청력장애, 작은턱, 눈처짐, 척추측만증, 경련, 요도 협착",22번 장완부 이상
65dc47d8da45daab46acd530,CACNA1A 관련 장애,조기영아형 경련성 뇌병증 42\n(early infantile epileptic encephalopathy 42)\n2형 간헐적 실조증\n(Episodic ataxia type 2)\n1형 가족성 반신마비 편두통\n(Familial hemiplegic migraine type 1)\n돌발성 반신마비 편두통\n(Sporadic hemiplegic migraine)\n6형 척수소뇌 실조증\n(Spinocerebellar ataxia 6)\n19번 염색체 단완 결실 증후군\n(19p13.13 deletion syndrome),"운동실조, 안진, 경련, 편두통, 발달지연, 인지장애",CACNA1A 유전자 돌연변이
65dc47ddda45daab46acd532,CDKL5 관련 장애,CDKL5 결핍\n(CDKL5 deficiency)\nCDKL5 병\n(CDKL5 disorder)\nCDKL5 뇌병증\n(CDKL5 encephalopathy)\nCDKL5-연관 뇌전증\n(CDKL5-related epilepsy)\nCDKL5-연관 뇌전증 뇌병증\n(CDKL5-related epileptic encephalopathy),"이른 나이 경련, 발달지연, 지적장애, 언어장애, 운동장애, 시력 장애",CDKL5 유전자 돌연변이
65dc47e0da45daab46acd534,DDX3X 관련 장애,DDX3X-연관 지적 장애\n(DDX3X-related intellectual disability)\nDDX3X-연관 신경발달질환\n(DDX3X-related neurodevelopmental disorder)\nDDX3X 증후군\n(DDX3X syndrome),"발달지연, 지적장애, 저긴장증, 자폐, 행동과다, 경련,",DDX3X 유전자 돌연변이
65dc47e2da45daab46acd536,니콜라이데스-바라이서 증후군,없음,"발달지연, 적은 머리숱, 특징적 얼굴(들창코, 긴 인중, 큰 입, 얇은 윗입술과 두꺼운 아랫입술), 소두, 경련, 청역장애, 안과문제, 선천성 심장 기형",SMARCA2의 유전자 돌연변이
65dc47e5da45daab46acd538,다발선천이상-근긴장저하-발작 증후군,선천성 글리코실화 장애\n(Congenital disorder of glycosylation)\nGlycosylphosphatidylinositol 생합성 결함\n(Glycosylphosphatidylinositol biosynthesis defect),"발달장애, 근긴장저하, 경련, 다발성 선천성 기형(심장, 비뇨생식기, 위장관)","발달장애, 근긴장저하, 경련, 다발성 선천성 기형(심장, 비뇨생식기, 위장관)"
65dc47e7da45daab46acd53a,다중심성 골용해-결정증-관절병증 [MONA],윈체스터-그로스만 증후군\n(Winchester-Grossman syndrome)\n토그-윈체스터 증후군\n(Torg-Winchester syndrome)\n윈체스터 병\n(Winchester disease),"저신장, 골다공증, 골용해, 골감소증, 골격계 퇴행성 변화, 비후성 잇몸, 다모증, 각막 혼탁, 심장결함, 거친 얼굴","MMP14, MMP2 유전자의 돌연변이"
65dc47eada45daab46acd53c,드라벳증후군,영아기 중증 근간대성 뇌전증\n(Severe myoclonic epilepsy of infancy)\n열성 발작을 동반한 전신 뇌전증 플러스\n(Generalized epilepsy with febrile seizures plus)\n전신 강직 간대 경련을 동반한 난치성 소아 뇌전증\n(Intractable childhood epilepsy with generalized tonic-clonic seizures)\n난치성 영아 부분 경련\n(Intractable infantile partial seizures)\n근간대성 무정위 뇌전증\n(Myoclonic astatic epilepsy),"열로 인한 반복적 긴 경련 혹은 비열성 경련이 발생하게 됩니다. 전신 경련, 근간대 경련이 흔한 형태의 경련이지만 결신 경련, 국소 경련의 다른 형태의 경련을 동반할 수 있습니다. 발달지연, 인지기능 장애, 행동장애 등이 동반됩니다.",신경의 나트륨 채널을 전사하는 SCN1A 유전자의 병적 변이로 발생합니다.
65dc47ecda45daab46acd53e,바이스-크루슈카 증후군,없음,"이마뼈의 융기 혹은 조기융합 (metopic ridging or synostosis), 안검하수, 안면이형성 (처진 눈꼬리, 둥근 눈썹, 안내각상의 주름, 짧고 들린 코 등)과 발달 지연 및 자폐적 특성, 근육긴장저하, 섭식 곤란 및 선천성 심장 결함이 있을 수 있습니다.",“ZNF462 유전자변이 또는 ZNF462와 관련된 9q31.2의 이형 결실
65dc47eeda45daab46acd540,보통염색체열성 세가와 증후군,상염색체우성 도파반응성 근긴장이상증\n(Autosomal dominant dopa-responsive dystonia)\n파킨슨 병\n(Parkinsonism),"신생아기, 유아기부터 시작되는 근긴장도 이상 및 심각한 경우 뇌증을 동반하기도 하며, 일중 증상의 변동을 보이고, 도파민 투여시 증상이 급격히 완화되지만 이미 증상이 많이 진행이 경우에는 L-도파민 치료의 효과가 적거나 없을 수도 있습니다.",타이로신 수소화 효소의 생성에 관여하는 TH유전자(Tyrosine Hydroxylase)의 이상으로 L-타이로신이 도파민의 전구체인 L-dopa로 변환되지 못하여 증상이 발생하게 됩니다.
65dc47f1da45daab46acd542,선천성 뇌하수체 기능저하,뇌하수체 기능저하\n(Hypopituitarism)\n성장 호르몬 결핍증\n(Growth hormone deficiency),"저신장, 성선기능 저하, 갑상선 기능 저하, 부신 기능 부전","특발성, 유전자 이상, 발달 기형"
65dc47f3da45daab46acd544,선천성 반척추,"클리펠-파일증후군\n(Klippel-Feil syndrome)\n자코-레빈 증후군\n(Jarcho-Levin syndrome)\n로비노 증후군\n(Robinow syndrome)\n척추늑골 이골증\n(spondylocostal dysostosis)\nVACTERL 증후군\n(vertebral and ventricular septal defects, anal atresia, tracheoesophageal fistula, renal anomalies, radial dysplasia, and single umbilical artery)\nOEIS 증후군\n(omphalocele, exstrophy of the cloaca, imperforate anus, and spinal defects)","어깨 높이의 변화, 골반 균형의 변화, 폐용적 감소에 의한 호흡곤란, 2차적으로 신경계, 심장계, 비뇨기계 동반기형에 따른 증상","약물, 환경적 요인, 드물게 관련유전자가 보고됨 (RIPPLY2, ROR2, TBX2, TBX6 유전자)"
65dc47f9da45daab46acd546,6번 염색체 단완의 결손 증후군,없음,"경증에서 중등도의 발달 지연과 지적 장애, 두개안면기형, 안구 결함",6번 염색체 단완의 결실
65dc47fbda45daab46acd548,15번 염색체 장완의 결손 증후군,프라더-윌리증후군\n(Prader-willi syndrome)\n15번 염색체 장완 13.3부분의 미세결손\n(15q13.3 microdeletion)\n15번 염색체 장완의 11.2 부분의 결손 증후군\n(15q11.2 deletion syndrome),"경증에서 중등도의 발달 지연과 지적 장애, 안면기형, 손발 기형, 성선기능저하",15q deletion
65dc47feda45daab46acd54a,18번 염색체 장완의 결손 증후군,18번 염색체 장완 12.2-12.3 부분의 결손\n(18q12.2q12.3 deletion syndrome),"특징적 외형(안면부 이상), 신경수초화 이상, 거미손가락증, 망막이상, 심장 기형, 발달 장애, 지적 장애, 언어 장애, 경련, 및 자폐 스펙트럼 장애","8번 염색체 장완에 위치한 다음의 특정 유전자들이 반접합성을 보이면 특정 표현형과 관련이 있는 것으로 생각됩니다. GATA6(선천 심장 기형), ZNF521(뼈 형태 변화), SS18(성장 부족), DSG2(미확인 효과), ZNF24(중추신경계 수초형성장애), SETBP1(언어 지연), SLC14A2(방광요관 역류/수신증), SMAD4(용종증), TCF4(Pitt-Hopkins 증후군), TXNL1(지적 장애), NETO1(실행기능장애), CYB5A(남성 불임/요도하열), TSHZ1(귀 폐쇄증)"
65dc4800da45daab46acd54c,대뇌 크레아틴 결핍 증후군,"크레아틴 결핍 질환\n(Creatine deficiency disorders)\n크레아틴 운반체 결핍\n(Creatine transporter deficiency)\n크레아틴 운반체 결핍 X-연관 지적 장애\n(Mental retardation, X-linked, with creatine transporter deficiency)\nX-연관 크레아틴 결핍 증후군\n(Creatine deficiency syndrome, X-Linked)\n대뇌 크레아틴 결핍 증후군 1\n(Cerebral creatine deficiency syndrome 1: CCDS1)\nGAMT 결핍에 의한 크레아틴 결핍 증후군\n(Creatine deficiency syndrome due to GAMT deficiency)\nAGAT 결핍에 의한 크레아틴 결핍 증후군\n(Creatine deficiency syndrome due to AGAT deficiency)","발달 지연, 인지기능 장애, 지적장애, 심각한 언어 지연, 행동 이상 및 경련","SLC6A8, GAMT, GATM 유전자의 병적 변이"
65dc4803da45daab46acd54e,보제슨-포르스만-레만 증후군,코핀-시리스 증후군\n(Coffin-Siris syndrome)\n코핀-로우리 증후군\n(Coffin-Lowry syndrome)\n바르데-비들 증후군\n(Bardet-Biedl syndrome)\n프라더-윌리 증후군\n(Prader-Willi syndrome)\n윌슨-터너 증후군\n(Wilson-Turner syndrome)\n처들리-로우리 증후군\n(Chudley-Lowry syndrome),"신생아기에는 저긴장증, 발달지연, 수유 곤란, 짧고 넓은 발과 발가락, 특징적인 얼굴 형태 (소두증, 깊은 눈, 좁은 이마, 눈 처짐, 두툼한 눈두덩이) 등이 나타납니다. 아동기에 비만, 발달 및 행동장애를 보이며, 사춘기에 여성형 유방, 작은 생식기 등의 성선기능 저하증을 보입니다. 이외 청력 저하, 경련 등이 발생할 수 있습니다.",Xq26에 위치한 PHF6유전자의 변이로 인해 발생되는 X연관 발달지연 유전 질환
65dc4805da45daab46acd550,스크라반-디어도르프 증후군,없음,"지적장애, 경련, 발달지연, 언어지연, 보행 장애, 근긴장저하, 안면이형성증(큰 입, 큰 상악 잇몸 비대, 벌어진 치아, 뭉툭한 코끝)등이 나타납니다.",WDR26 유전자의 이형접합 돌연변이에 의해 발생합니다.
65dc4808da45daab46acd552,신경눈심장비뇨생식계 증후군,홍채결손\n(Coboloma),"눈 기형, 안면이상, 구조적 뇌 결함, 심장 결손, 소화기 장애 등",WDR37 유전자의 돌연변이로 발생하는 상염색체 우성 질환
65dc480ada45daab46acd554,아이메-그리프 증후군,조기 발병 백내장\n(Early onset cataract)\n감각신경성난청\n(Sensory neural hearing loss)\n파인-루빈스키 증후군\n(Fine-Lubinsky syndrome),"어린나이의 양측성 백내장, 난청, 특징적인 얼굴 모습 (3가지 특징)\n지적장애, 경련, 소두증, 성장장애",16번 염색체에 위치한 MAF 유전자의 돌연변이로 발생하며 상염색체 우성 유전 형식을 따른다.
65dc480dda45daab46acd556,오그덴 증후군,NAA10 연관 증후군\n(NAA10-related syndrome)\n조기성숙-발달지연-부정맥 증후군\n(Premature aging appearance-developmental delay-cardiac arrhythmia syndrome),"근긴장 저하, 특징적인 얼굴 모양, 성장 지연, 선천성 심기형",X 염색체에 위치한 NAA10 유전자의 이상
65dc480fda45daab46acd558,오쿠르-청 신경발달 증후군,저감마글로불린혈증\n(Hypogammaglobulinemia)\n뇌전증\n(Epilepsy),"발달지연, 운동발달 및 언어발달 지연, 행동장애, 얼굴 모양 이상, 소두증, 소화기 장애 등",CSNK2A1(염색체 20번 단완 13부위) 상염색체 우성 유전 양상
65dc4814da45daab46acd55a,쿨렌-드브리스 증후군,17q21.31 결실 증후군\n(17q21.31 deletion syndrome)\n17q21.31 미세 결실 증후군\n(17q21.31 microdeletion syndrome),"발달저하, 지적장애, 얼굴 이형성증, 근긴장도 저하, 심장 및 비뇨기계 기형","염색체 17q12.31 부위 결손, KANSL1 유전자 돌연변이"
65dc4816da45daab46acd55c,팰리스터-홀 증후군,시상하부 과오아종 증후군\n(Hypothalamic hamartoblastoma syndrome),"다지증, 후두개갈림증 (bifid epiglottis), 후두기관갈림증 (laryngotracheal cleft), 시상하부과오종, 뇌하수체호르몬 결핍, 경련 등","상염색체 우성, GLI3 유전자변이(결손), (GLI family zinc finger 3, HGNC ID:4319, 22.5기준)"
65dc4819da45daab46acd55e,페인골드 증후군 유형 1,없음,"손가락 및 발가락의 기형 (2번째 5번째 손가락이 짧아짐, 새끼손가락의 clinodactyly, 2-3번째 발가락의 합지증, 엄지손가락 저형성 등), 소두증, 얼굴형태이상 (작은 눈 short palpebral fissure, 작은 턱), 위장관계의 폐쇄 (식도 혹은 십이지장), 콩팥 기형 (Horseshoe kidneys, dysplastic kidneys, hydropherosis, 만성신염, 요관역류), 심장기형(PDA, 심실중격결손, 삼천판폐쇄, interrupted aortic arch) , 청력 이상 등","MYCN 유전자(MYCN proto-oncogene, bHLH transcription factor, HGNC ID:7559, 22.5기준), 상염색체 우성"
65dc481bda45daab46acd560,폐동맥 슬링,없음,"무기폐, 폐렴, 호흡곤란, 호흡부전",선천성 심혈관기형
65dc481eda45daab46acd562,헤모글로빈 사우샘프턴(헤모글로빈 캐스퍼),혈색소질환\n(Hemoglobinopathies)\n메트헤모글로빈혈증\n(Methemoglobinemia),"빈혈, 심한 용혈, 비장 비대, 용혈위기로 인한 재발성 감염 증상","상염색체성 우성유전, 베타글로빈 유전자의 돌연변이"
65dc4820da45daab46acd564,FBXO11 관련 장애,안면이형성과 행동이상을 동반한 지적발달장애 증후군\n(Intellectual developmental disorder with dysmorphic facies and behavioral abnormalities (IDDFBA) syndrome)),"발달지연과 지적장애, 행동장애, 근육긴장저하증과 관절의 과신전증, 안과적 문제, 경련, 얼굴형태이상 등",FBXO11 유전자의 돌연변이 또는 결실
65dc4823da45daab46acd566,NACC1 관련 장애,없음,"중증의 신경발달지연, 경련 및 행동 이상 등",19번 염색체에 위치한 NACC1 유전자 변이로 발생
65dc4825da45daab46acd568,OPHN1 관련 장애,없음,"중증의 지적장애, 근긴장저하, 전반적 발달지연, 뇌전증, 특징적인 얼굴모습 등",Xq12에 위치한 OPHN1 유전자의 돌연변이로 발생
65dc4828da45daab46acd56a,PPP2R5D 관련 장애,없음,"지적장애, 대두, 심장기형, 근긴장감소, 경련",PPP2RD5 유전자 돌연변이
65dc482ada45daab46acd56c,ZTTK 증후군,없음,"발달지연, 지적장애, 얼굴 이형성(얼굴 비대칭, 중앙 안면부 저형성, 낮은 귀, 쳐진 눈, 깊은 눈, 평행한 눈썹, 납작한 콧잔등, 짧은 인중), 심장기형, 장폐{쇄, 요로 기형, 근긴장도 저하, 경련",21번 염색체 장완 22.11 부위에 위치하는 SON 유전자의 돌연변이
65dc4831da45daab46acd56e,팰리스터-킬리언 증후군,Tetrasomy 12p\nIsochromosome 12p mosaicism\nIsochromosome 12p syndrome,"심한 근긴장저하, 지능저하, 특징적인 얼굴, 숱이 적은 모발, 피부변색 등",추가적으로 생성된 비정상적인 12번 단완의 동위염색체(isochromosome 12p)가 모자이시즘(mosaicism)의 형태로 발생함.
65dc4834da45daab46acd570,취약X증후군,유약 엑스 증후군\n(FRAXA Syndrome )\n유약 X 증후군\n( fra(X) syndrome )\n마틴-벨 증후군\n( Martin-Bell syndrome ),"지능저하, 행동장애, 크고 뚜렷한 귀, 큰 고환, 튀어나온 턱","삼핵산반복질환, FMR1 유전자 상부에 위치한 삼핵산 CGG 반복횟수의 비정상적 증폭"
65dc4836da45daab46acd572,"클라인펠터증후군, 핵형 46, XX를 가진 남성","Sex reversal syndrome\nde la Chapelle syndrome\n46, XX testicular disorder of sex development\nXX, male syndrome","저신장, 작은 고환, 여성형 유방증, 불임, 요도하열, 잠복고환, 모호생식기, 낮은 성욕, 발기부전, 골감소증, 우울증",염색체 이상
65dc4839da45daab46acd574,"클라인펠터증후군, 두 개 이상의 X염색체를 가진 남성",XXXY syndrome\nXXYY syndrome\nXXXXY syndrome,"생식샘저하증, 무정자증, 여성형유방, 유방암, 승모판 탈출증",남성에서 X염색체가 2개 이상 있는 이수배수체(aneuploidy)
65dc483bda45daab46acd576,"클라인펠터증후군, 핵형 47, XXY",XXY male\nXXY syndrome,"작은고환(4mL 미만), 환관형 체형, 여성형유방, 어금니비대","47, XXY 핵형의 성염색체이상 질환(정상보다 X염색체가 한 개 더 있는 형태)"
65dc483eda45daab46acd578,"섞임증, 45, X/46, XX 또는 XY",Turner syndrome,"저신장, 조기 난소 부전, 이차 성징 발현 이상, 골격계 기형, 심장 기형, 신장 기형, 생식샘모세포종 (일부)",염색체 이상
65dc4840da45daab46acd57a,"섞임증, 45, X/46, XX 또는 XY",Turner syndrome,"저신장, 조기 난소 부전, 이차 성징 발현 이상, 골격계 기형, 심장 기형, 신장 기형, 생식샘모세포종 (일부)",염색체 이상
65dc4843da45daab46acd57c,"동인자(Xq)를 제외한 이상 성염색체를 가진 핵형46, X",Turner syndrome,"저신장, 조기 난소 부전, 이차 성징 발현 이상, 골격계 기형, 심장 기형, 신장 기형",염색체 이상
65dc4845da45daab46acd57e,"핵형46, X동인자(Xq)",Turner syndrome,"저신장, 조기 난소 부전, 이차 성징 발현 이상, 골격계 기형, 심장 기형, 신장 기형, 자가면역 갑상선염",염색체 이상
65dc484ada45daab46acd580,"핵형45, X","Turner syndrome\nMonosomy X\nUllrich-Turner syndro6me\nBonnevie-Ulrich syndrome\nSchereshevkii turner syndrome\nTurner Varny syndrome\nGonadal dysgenesis (45, X)","저신장, 조기 난소 부전, 이차 성징 발현 이상, 골격계 기형, 심장 기형, 신장 기형",염색체 이상
65dc484dda45daab46acd582,15 장완13.3 미세결손 증후군,Chromosome 15q13.3 deletion syndrome\nMicrodeletion 15q13.3 syndrome\nChromosome 15q13.3 microdeletion syndrome,"지적장애, 학습지연, 자폐증, 간질, 정신질환 (조현병, 조울증)",15번 염색체 장완의 유전자 미세 결손
65dc484fda45daab46acd584,2장완37 미세결손 증후군,Chromosome 2q37 deletion syndrome\nAlbright hereditary osteodystrophy-like syndrome\nBrachydactyly-Intellectual disability syndrome,"발달지연, 정신지체, 단지증, 저신장, 비만, 안면기형 등",2번 염색체 원위부 장완(2q37)에 위치한 다수의 유전자 손실
65dc4852da45daab46acd586,캐취22증후군,디죠지증후군\n(Di Geroge syndrome)\n원추부 동맥간 심기형 안면 증후군\n(Conotruncal anomaly face syndrome)\n입천장심장얼굴 증후군\n(Velocardiofacial syndrome),"안면부 이형성증, 심장이상, 구개열, 흉선저발달, 저칼슘혈증, 경련",22번 염색체 장완부 이상
65dc4854da45daab46acd588,18장완 말단부 결손 증후군,18q deletion syndrome\n18q- syndrome\nChromosome 18 long arm deletion syndrome\nDel(18q) syndrome\nMonosomy 18q syndrome,"저신장, 지능저하, 근육긴장저하, 손/발의 기형, 두개골과 얼굴의 이상, 시각 장애, 청력 이상, 생식기 이상, 심장 기형",18번 염색체 장완 말단 부위의 미세 결손
65dc4857da45daab46acd58a,18장완단일염색체증,"18번 염색체 긴팔의 결실증후군\n(18q Deletion Syndrome)\n18q- Syndrome\nChromosome 18 Long Arm Deletion Syndrome\nChromosome 18, Monosomy 18Q\nDel(18q) Syndrome\nMonosomy 18q Syndrome","얼굴이상형태, 가로모양의 손금, 방추모양 손가락(arachnodactyly), 귀의 난청, 발달지연, 생식기 이상, 성장지연, 신경계 이상, 작은머리증, 저신장, 정신지연,심장기형",18번 염색체 장완의 결손
65dc4859da45daab46acd58c,18 단완 염색체 결손,없음,"근육긴장저하증, 뇌이상, 머리얼굴이상형태증, 성장지연(저신장), 심장이상, 언어발달지연, 정신지체",18번 염색체 단완의 결손(결실)
65dc485cda45daab46acd58e,엔젤만증후군,행복한 인형 증후군\n(Happy Puppet Syndrome),"감소된 근육긴장, 과다활동, 과도한 웃음, 균형감각 상실, 돌출한 턱, 뒷머리의 편편한 홈, 발작, 사시, 섭취장애,","15q11-q13에 위치하는 UBE3A 유전자의 돌연변이, 15q11-q13부위의 염색체 결손, 각인 및 이체증(disomy)"
65dc485eda45daab46acd590,스미스-마제니스 증후군,"Chromosome 17, interstitial deletion 17p, Smith-Magenis chromosome region (SMCR)","구개열, 근시, 단두증, 상악전돌증, 저신장, 중간안면저형성, 지능저하, 행동장애","17p11.2 결실, RAI1 유전자 결실 혹은 돌연변이"
65dc4861da45daab46acd592,3 장완29 미세결손 증후군,3번 염색체 장완 말단 결손\n(3qter deletion)\n3장완29 결손\n(Del(3)(q29); 3q29 deletion)\n3장완29 결손 증후군\n(3q29 deletion syndrome)\n3번 염색체 장완 말단 홑염색체\n(Monosomy 3qter)\n3번 염색체 장완 말단 결손 증후군\n(3q subtelomere deletion syndrome)\n3장완29 홑염색체\n(Monosomy 3q29),"발달지연, 지능저하, 근육긴장저하, 반복적인 호흡기계 감염, 작은머리증, 황달, 심장기형, 입천장갈림증, 위식도역류, 자폐 스펙트럼 장애, 불안, 양극성 장애, 조현병, 보행실조",염색체 이상
65dc4866da45daab46acd594,윌리엄스 증후군,윌리암스-보이렌 증후군\n(Williams-Beuren syndrome (WBS))\ndeletion 7q11.23\nmonosomy 7q11.23\nelfin facies with hypercalcemia,"정신지연, 심혈관기형, 특징적 얼굴",7번 염색체의 장완 근위부(7q11.23)의 미세결실
65dc4868da45daab46acd596,1단완36 미세결손증후군,1번 염색체 단완의 36부분의 결실증후군\n(Chromosome 1p36 deletion syndrome)\n1번 염색체 단완의 말단 36부분의 단일염색체증\n(Distal monosomy 1p36)\n1번 염색체 단완의 36부분의 단일염색체 증후군\n(Monosomy 1p36 syndrome),"발달장애, 학습장애, 근긴장도저하, 경련, 식이장애, 심근병증, 시력/청력 이상\n골격, 심장, 소화기계, 신장, 생식기의 이상",1번 염색체 단완의 36부분의 결손
65dc486bda45daab46acd598,고양이울음증후군,크리-두-샤 증후군\n(Cri-du-chat syndrome)\n고양이울음증후군/묘성증후군\n(cat cry syndrome)\n5p 결실 증후군\n(chromosome deletion 5p syndrome),"고양이울음과 유사한 아기의 울음소리, 근육긴장저하, 넓은 콧등, 눈구석주름, 비정상적 지문, 머리와 턱이 일반적인 크기에 비해 작음, 발달지연, 지적장애",5번 염색체 단완의 결손
65dc486dda45daab46acd59a,5번 염색체 단완의 결손,5번 염색체 단완의 결손\n(Deletion 5p; 5p deletion)\n5번 염색체 단완의 홑염색체성\n(Monosomy 5p; 5p monosomy)\n5번 염색체 단완의 부분 홑염색체성\n(Partial monosomy 5p)\n고양이울음증후군\n(Cri du chat syndrome; cat’s cry syndrome),"고양이 울음과 비슷한 특징적인 울음소리, 특이적인 얼굴 형태, 작은머리증 (microcephaly), 성장 지연, 발달지연, 중등도에서 중증의 지능저하",염색체 이상
65dc4870da45daab46acd59c,4 단완 염색체 부분 결손,4번 염색체 짧은 팔의 결손\n(Deletion of short arm of chromosome 4)\n4번 염색체 짧은 팔의 결손 증후군\n(4p- syndrome)\nMonosomy 4p syndrome\nPitt-Rogers-Danks syndrome,"난치성 간질, 소악증, 심기형, 소두증, 장두증(dolichocephaly), 전두골 돌출, 지능 저하, 청력 이상, 크고 넓은 콧등",4번 염색체 단완의 결실
65dc4872da45daab46acd59e,4 단완 염색체 부분 결손,4번 염색체 짧은 팔의 결손\n(Deletion of short arm of chromosome 4)\n4번 염색체 짧은 팔의 결손 증후군\n(4p- syndrome)\nMonosomy 4p syndrome\nPitt-Rogers-Danks syndrome,"난치성 간질, 소악증, 심기형, 소두증, 장두증(dolichocephaly), 전두골 돌출, 지능 저하, 청력 이상, 크고 넓은 콧등",4번 염색체 단완의 결실
65dc4875da45daab46acd5a0,15장완 사염색체(증)(쌍중심절 15번 염색체 증후군),15(q25-qter) 사염색체증\n15q26 사염색체증\n15q 중복 증후군\n15번 염색체 역위 중복\n이동원체 15번 염색체 증후군,"근긴장 저하증, 발달 지연, 지적 장애, 뇌전증, 자폐적 행동, 특징적 얼굴 생김새, 콩팥 기형",15번 염색체 장완의 중복
65dc4877da45daab46acd5a2,20번 염색체 단완의 삼염색체증,Dup(20p)\nDuplication of 20p\nChromosome 20p duplication\nPartial duplication of chromosome 20p\nPartial duplication of the short arm of chromosome 20\nPartial trisomy 20p\nPartial trisomy of chromosome 20p\nPartial trisomy of the short arm of chromosome 20,"특징적인 얼굴모양 (통통한 뺨과 둥근 얼굴, 두껍고 거친 직모, 측면 아치형 눈썹, 높은 아치형 구개, 비정상 치아), 척추 기형, 고관절 기형, 선천성 심장 결함, 신장 이상, 사타구니 및 제대 탈장, 요도하열, 사시, 발달지연, 조화운동불능, 지적장애, 조음장애, 언어지연",염색체 20번 단완의 부분 또는 전체의 중복
65dc487ada45daab46acd5a4,7장완11.23 미세중복 증후군,Williams-Beuren region duplication syndrome\nWBS duplication syndrome\nChromosome 7q11.23 duplication syndrome\nSomerville-Van Der AA syndrome\nDup(7)(q11.23)\nDup7q\nTrisomy 7q11.23,"특징적인 두개안면모양, 성장지연, 상행대동맥 확장, 만성변비, 유분증, 근긴장저하, 보행이상, 경련, 선천성 신장기형, 잠복고환, 관절이완증, 내반첨족, 운동/언어/사회 발달지연, 음성 장애, 불안장애, 주의력결핍과다활동장애(ADHD), 적대적반항장애, 자폐 스펙트럼 장애(ASD)",7번 염색체 장완 근위부의 미세중복
65dc487cda45daab46acd5a6,포토키-룹스키 증후군,17p11.2 중복 염색체 증후군\n(17p11.2 duplication syndrome),발달지연 및 지능장애를 보이며 중추성/폐쇄성 수면 무호흡증 그리고 심기형이 보일 수 있음,염색체질환
65dc4881da45daab46acd5a8,15장완11-13 미세중복 증후군,15q11.2-q13.1 duplication syndrome\nDup15q syndrome\nInverted duplication 15 (inv dup15)\nPartial trisomy 15\nIsodicentric chromosome 15 syndrome [Idic(15)]\nInterstitial duplication chromosome 15 [Int dup(15)]\nSupernumerary marker chromosome 15 (SMC15)\nPartial tetrasomy 15q\nInterstitial triplication 15 [Int trp(15)],"근긴장저하과 운동 지연, 지적장애, 자폐증, 유아 경련을 포함한 뇌전증",15번 염색체 장완의 중복
65dc4884da45daab46acd5aa,10단완삼염색체증,Complete trisomy 10p\nPure trisomy 10p\nDuplication 10p\nPartial trisomy 10p,"돌출된 이마, 큰 봉합선, 큰 대천문, 구순/구개열. 심장기형, 신기형, 근긴장저하",염색체 10번 단완의 부분 또는 전체의 중복
