	research_title	research_subject
1032	갑상선 유두암과 동반된 갑상선 MALT 림프종 1예 = Thyroid MALT Lymphoma Associated with Thyroid Papillary Cancer	갑상선 MALT 림프종 ;  Thyroid MALT lymphoma ;  Thyroid paillary cancer ;  Hashimoto's thyroiditis
1033	Septic arthritis of the temporomandibular joint: a case report	Infectious arthritis ;  Temporomandibular joint arthrocentesis ;  Temporomandibular joint aspiration
1034	[P130] A case of scleromyxedema = [P130] A case of scleromyxedema	Scleromyxedema ;  Lichen myxedematosus ;  Cutaneous mucinosis
1035	포상 연부 육종 = Alveolar Soft Part Sarcoma	Sarcoma ;  Alveolar soft part
1036	홍피증 환자 75명에 대한 임상 역학적 연구 = A Clinico-epidemiologic Study of 75 Cases of Erythroderma홍피증 환자 75명에 대한 임상 역학적 연구	Erythroderma ;  Generalized exfoliative dermatitis
1037	위장, 간 침범과 함께 막성 신병증이 합병된 제2기 매독 = Nephrotic Syndrome, Hepatitis and Gastric Involvement in Secondary Syphilis	Nephrotic syndrome ;  Hepatitis ;  Syphilis ;  Membranous glomerulonephritis
1038	성인 혈전성 미세혈관병증에 관한 임상적고찰 = A Clinical Aspect of the Adult Thrombotic Microangiopathy	Thrombotic microangiopathy ;  Hemolytic uremic syndrome ;  Thrombotic thrombocytopenic purpura
1039	Intervention with Balloon Valvuloplasty followed by Patent Ductus Arteriosus Stent in a Patient with Pulmonary Atresia with Intact Ventricular Septum	Pulmonary Atresia ;  Balloon Valvuloplasty ;  Stent
1040	좌심방내에서 자유롭게 부유하는 구상혈전과 연관된 다발성 전신성 색전증 1례 = A Case of Multiple Systemic Embolism Associatied with Left Atrial Free-Floating Ball Thrombus	혈전 ;  색전증 ;  승모판 질환 ;  Thrombus ;  Embolization ;  Mitral valvular heart disease ;  Echocardiography.
1041	기저질환이 없는 건강한 성인에서 발생한 특발성 신경색증 3예 = The Three Cases of Idiopathic Renal Infarction in Healthy Adult without Unlerlying Disease	Renal infarction ;  Renal artery thrombosis ;  Renal artery dissection
1042	폐렴을 동반한 Seckel 증후군 환아의 마취경험 -증례보고- = Case Report : Anesthetic experience of a pediatric patient with Seckel syndrome associated with pneumonia	Airway management ;  Bird-headed dwarfism ;  Seckel syndrome
1043	다발성 뇌수막종  :  1례 보고 Case Reprot = Multiple Meningioma	Meningioma ;  Multiple meningiomas ;  Brain CT ;  Von Recklinghausen's disease
1044	Desmoplastic melanoma of the oral cavity: diagnostic pitfalls and clinical characteristics	Oral desmoplastic melanoma ;  Diagnosis ;  Recurrence ;  Survival
1045	Cerebral Ischemia Caused by Hepatic Fascioliasis	Cerebral ischemia ;  Hepatic fascioliasis ;  Vasculitis
1046	급성 신우신염과 동반된 자발적 신장 파열 = A Case of Spontaneous Rupture of the Kidney with Acute Pyelonephritis	Spontaneous rupture of the kidney ;  Acute pyelonephritis
1047	만성 신부전과 동반된 일차성 알도스테론증 = Primary Aldosteronism Complicated with Chronic Renal Failure	Primary aldosteronism ;  Chronic renal failure ;  Malignant hypertension ;  Nephrosclerosis
1048	Schnyder씨 결정각막이상증 가족의 UBIAD1 유전자의 N102S 돌연변이 = N102S Mutation of UBIAD1 Gene in a Family with Schnyder Crystalline Corneal Dystrophy	Cornea ;  UBIAD1 ;  N102S ;  Schnyder corneal dystrophy ;  Schnyder crystalline corneal dystrophy
1049	Case Report : Renal Pelvic Hematoma Induced by Delayed Re-bleeding After Renal Biopsy = Case Report : Renal Pelvic Hematoma Induced by Delayed Re-bleeding After Renal Biopsy	Biopsy ;  Hematuria ;  Hematoma
1050	줄넘기 도중에 발생한 경골조면의 견열골절  :  1례 보고 A Case Report = Avulsion Fracture of the Tibial Tuberosity during Rope Skipping	Tibial tuberosity ;  Avulsion fracture ;  Rope skipping
1051	좌심방의 원발성 악성 섬유성조직수종 1예 = A Case of Myxoid Type of Malignant Fibrous Histiocytoma of the Heart	악성 섬유성 조직구종 ;  점액종 ;  심초음파검사 ;  Malignant fibrous histiocytoma ;  Myxoma ;  Echocardiography
1052	관해기 궤양성 대장염의 재발률 및 재발 관련 인자들 = Relapse Rates of Ulcerative Colitis in Remission and Factors Related to Relapse	Ulcerative colitis ;  Relapse rate ;  Anemia
1053	2기 매독 환자에서 발생한 간질성 폐렴 양상의 Jarisch-Herxheimer 반응 1예 = A Case of Secondary Syphilis with Jarisch-Herxheimer Reaction Presenting as Hypersensitivity Pneumonitis	Syphilis ;  Jarisch-Herxheimer reaction ;  Hypersensitivity pneumonitis
1054	JNM : Case Report ; Lung Transplantation Triggered “Jackhammer Esophagus”; A Case Report and Review of Literature = JNM : Case Report ; Lung Transplantation Triggered “Jackhammer Esophagus”; A Case Report and Review of Literature	High-resolution manometry ;  Jackhammer esophagus ;  Lung transplantation
1055	간담도내 Calcium - bilirubinate 결석을 갖는 환자에서 간흡충증의 유병율에 관한 연구 = The Prevalence of Clonorchiasis in Patients with Hepatobiliary Calcium - bilirubinate Stone	Clonorchiasis ;  calcium - bilirubinate stones
1056	Koebner 현상에 의해 선상태선의 임상 양상을 보인 광택태선 = A Case of Lichen Nitidus with the Koebner Phenomenon Mimicking Lichen Striatus	Koebner phenomenon ;  Lichen nitidus ;  Lichen striatus
1057	간경변 환자에서 조영 심초음파검사를 이용한 폐내 단락의 빈도 및 임상적 의의 = Frequency and Clinical Significance of Intrapulmonary Shunt in Liver Cirrhosis ; Detection by Contrast Echocardiography	Intrapulmonary shunt ;  Liver cirrhosis ;  Contrast echocardiography
1058	Ticlopidine에 의한 담즙 울체성 간염 4예 = Four cases of ticlopidine-induced cholestatic hepatitis	Ticlopidine ;  Cholestatic hepatitis ;  Jaundice
1059	Ovarian Squamous Cell Carcinoma Associated with Endometriosis: Poor Response to Chemotherapy	Squamous cell carcinoma ;  Endometriosis ;  Chemotherapy
1060	Listeria monocytogenes 에 의한 자발성 세균성 복막염 = A Case of Spontaneous Bacterial Peritonitis Caused by Listeria monocytogenes	Listeria monocytogenes ;  Peritonitis ;  Liver cirrhosis
1061	A Case of Microscopic Polyangiitis with Acute Myocardial Infarction	Myocardial Infarction ;  Gastrointestinal bleeding ;  ANCA ;  Microscopic polyangiitis
1062	매독 환자의 경부 괴사성 근막염의 치험례 = A CASE OF SYPHILIS RELATED CERVICAL NECROTIZING FASCIITIS	Fasciitis ;  Syphilis
1063	결핵성 복막염과 감별이 어려운 클라미디아 트라코마티스 복막염 = A Case of Chlamydia trachomatis Peritonitis Mimicking Tuberculous Peritonitis	Peritonitis ;  Chlamydia trachomatis
1064	아스피린을 장기 복용한 환자의 갑상선 결절에서 초음파 유도하 세침흡인생검 후 생긴 심한 출혈 = Extensive Hemorrhage after Ultrasound-guided Fine Needle Aspiration Biopsy of Thyroid Nodules in a Patient with Long-term Aspirin Therapy	갑상선 ;  세침흡입검사 ;  합병증 ;  Thyroid ;  FNAB ;  Complication
1065	전환장애로 인한 삼킴장애 - 증례 보고 = Persistent Dysphagia Caused by Conversion Disorder	Conversion disorder ;  Deglutition disorder ;  Apraxia ;  Transcranial magnetic stimulation
1066	Muscular Mucormycosis in a Child with Leukemia  :  Findings of MR, US, and Plain Radiography	Leukemia ;  Ultrasound ;  MR ;  Mucormycosis
1067	어린선양 사르코이드증 ( Ichthyosiform sarcoidosis ) = A Case of Ichthyosiform Sarcoidosis	Acquired Ichthyosis ;  Ichthyosiform Sarcoidosis
1068	증례 : 순환기 ; 유의한 관상동맥 질환이 없이 관상동맥 연축에 의해 발생한 심실세동 1예 = Case Reports : Cardiology ; A case of coronary vasospasm-induced ventricular fibrillation without significant coronary artery disease	Angina pectoris ;  Variant ;  Coronary vasospasm ;  Ventricular fibrillation ;  이형 협심증 ;  관상동맥 연축 ;  심실세동
1069	증례 : 말기 신부전 환자에서 발생한 원발성 신장 혈관육종 1예 = Case Reports : A case of primary renal angiosarcoma in a patient with end-stage renal disease	Angiosarcoma ;  Hemorrhage ;  Renal failure ;  Dialysis ;  혈관육종 ;  출혈 ;  신부전 ;  투석
1070	재발 벨마비의 임상 분석 = The Clinical Analysis of Recurrent Bell’s Palsy	Bell’s palsy ;  Recurrence ;  Clinical analysis
1071	1형 자가면역췌장염의 진단기준에서 논란이 되는 쟁점 = Controversial Issues of Recent Diagnostic Criteria of Type 1 Autoimmune Pancreatitis	자가면역췌장염 ;  진단 ;  기준 ;  Autoimmune pancreatitis ;  Criteria ;  Diagnosis
1072	약물 정주 경력이 없고 심장의 구조적 이상이 없는 사람에게서 발생한 삼첨판 심내막염 1예 = A Case of Tricuspid Valve Endocarditis with Vegetation in a Non-Drug Addict without Underlying Cardiac Disease	삼천판 심내막염 ;  Tricuspid valve endocarditis.
1073	대장전이된 재발성 자궁경부암 1 예 = A Case of Colonic Metastasis of Recurrent Cervical Cancer	대장전이 ;  재발성 자궁경부암 ;  Colon ;  Metastasis ;  Recurrent cervical cancer
1074	암피실린을 이용한 반복적인 피부시험 중 발생한 아나필락시스 = A Case of Anaphylaxis due to Repeated Intradermal Testing with Ampicillin	Hypersensitivity ;  Skin test ;  Anaphylaxis ;  Ampicillin
1075	간 및 비장을 침범한 결핵성 농양 1예 = A case of tuberculous abscess in liver and spleen	Tuberculous abscess ;  Liver ;  Spleen
1076	비스포스포네이트로 인한 하악 및 상악골에 발생한 골괴사에 대한 임상적 연구 = CLINICAL STUDY OF BISPHOSPHONATE-INDUCED OSTEONECROSIS OF MANDIBULAR AND MAXILLARY BONE	BRONJ (Bisphosphonate-related osteonecrosis of the jaw) ;  Osteonecrosis ;  Osteoporosis
1077	신이식 환자에서 Colchicine에 의해 유발된 급성 근육병증 1예 = Colchicine-induced Acute Myopathy in a Renal Recipient	Colchicine ;  Myopathy ;  Renal failure
1078	이중유문 = Acquired Double Pylonrus	Double pylorus ;  Gastric ulcer ;  Gastroduodenal fistula
1079	Peutz-Jeghers 증후군 환자에서 발생한 췌장 두부의 관내 유두상 점액성 악성 종양 1예 = A Case of Peutz-Jeghers Syndrome with Intraductal Papillary Mucinous Carcinoma of Pancreas	Peutz-Jeghers syndrome ;  Intraductal papillary mucinous carcinoma
1080	Extensive cavo-atrial and hepatic venous tumor thrombus in a mismanaged retroperitoneal pediatric germ cell tumor: A unique surgical challenge	Germ cell neoplasm ;  Hepatic veins ;  Tumor thrombosis ;  Inferior vena cava
1081	호산성 폐육아종 = Eosinophilic Granuloma of the Lung	Eosinophilic Granuloma ;  Lung ;  Fibrosis ;  Birbeck granule
1082	Case Reports : A Case of Sweet`s Syndrome in Patient with Dermatomyositis	Sweet`s syndrome ;  Dermatomyositis
1083	Thyrotoxic Vomiting: A Case Report and Possible Mechanisms = Thyrotoxic Vomiting: A Case Report and Possible Mechanisms	Adolescent ;  Thyrotoxicosis ;  Vomiting
1084	사진 촬영 교육이 피부과 전공의가 촬영한 의학 사진의 수준에 미치는 영향 = The Influence of Photography Education on Quality of Medical Photographs Taken by Dermatology Resident사진 촬영 교육이 피부과 전공의가 촬영한 의학 사진의 수준에 미치는 영향	Education ;  Photography
1085	간 및 비장을 침범한 결핵성 농양 = A Case of Tuberculous Acscess in Liver and Spleen	Tuberculous abscess ;  Liver ;  Spleen
1086	야맹증을 주소로 한 Pantothenate Kinase-Associated Neurodegeneration (PKAN) 1예 = A Case of Retinal Pigmentary Degeneration in PKAN	Iron ;  Pantothenate kinase-associated neurodegeneration ;  Retinal degeneration
1087	이차성부갑상샘항진증을 가진 만성신부전 환자에서 하악골 종대 및 폐, 위점막 석회 침착 1예 = Case Report : Mandibular Enlargement, Metastatic Pulmonary Calcification and Gastric Mucosal Calcinosis in a Patient with Chronic Kidney Disease-mineral Bone Disorder	Secondary hyperparathyroidism ;  Pathologic calcification
1088	위막성 허혈성 대장염으로 다발성 천공을 일으킨 결절성 다발동맥염  :  1예 보고 A Case Report = Ischemic Pseudomembranous Colitis with Perforation due to Polyarteritis Nodosa	Polyarteritis nodosa/Colitis ;  Ischemic/Colon/ Intestinal perforation
1089	무도증으로 내원한 전신성 홍반성 루푸스 1예 = A Case of Systemic Lupus Erythematosus with Chorea as an Initial Manifestation	Systemic lupus erythematosus ;  Chorea
1090	안와에 발생한 내배엽동종양-1 증례 보고- = Endodermal Sinus Tumor of the Orbit	Endodermal sinus tumor ;  Embryonal carcinoma ;  Orbit
1091	Case Reports : A Case of Pseudomembranous Colitis Associated with Rifampin	Pseudomembranous Colitis ;  Antitubercular agent ;  Rifampin
1092	Case Report : Cutaneous Metastasis from Cholangiocarcinoma as the First Clinical Sign: A Report of Two Cases = Case Report : Cutaneous Metastasis from Cholangiocarcinoma as the First Clinical Sign: A Report of Two Cases	Cutaneous metastasis ;  Cholangiocarcinoma
1093	[P418] A case of idiopathic thrombocytopenic purpura after taking dendropanax morbifera leveille = [P418] A case of idiopathic thrombocytopenic purpura after taking dendropanax morbifera leveille	Antithrombotic agent ;  Dendropanax morbifera leveille ;  Idiopathic thrombocytopenic purpura
1094	류마티스 관절염 환자에서 빈뇨로 발현된 방광의 유전분증 2예 = Frequency Due to Bladder Amyloidosis in Patients with Rheumatoid Arthritis Two Cases Reports	Rheumatoid arthritis ;  Amyloidosis ;  Hematuria ;  Frequency ;  Urinary bladder
1095	이상동에서 발생한 골성연골종 1례 = Osteochondroma Arising from the Pyriform Sinus：A Case Report	Osteochondroma ;  Pyriform sinus ;  이상동 ;  골연골종.
1096	건선 관절염 환자에서 동반된 대퇴골두의 무혈성 괴사 = Avascular Necrosis of the Femoral Head in Patient with Psoriatic Arthritis	Psoriatic arthritis ;  Avascular necrosis ;  Femoral head
1097	[FCP 10] Pretibial myxedema presenting as elephantiasis = [FCP 10] Pretibial myxedema presenting as elephantiasis	Elephantiasis ;  Petibial myxedema
1098	췌장종양으로 오인된 화농성 췌장농양 4예 보고 = Pyogenic Pancreatic Abscess Mimicking Pancreatic Neoplasm A Four-Case Series	Pancreas ;  Abscess ;  Neoplasms ;  Endosonography
1099	히드록시클로로퀸 망막병증 = Hydroxychloroquine Retinopathy	Hydroxychloroquine ;  Retina ;  Toxicity
1100	청피반성 혈관염(livedo vasculitis)의 수술적 치험례 = SURGICAL TREATMENT OF LIVEDO VASCULITIS	Livedo vasculitis ;  Atrophie blanche
1101	강직성 척추염에서 Infliximab 사용 후 발생한 건선 = A Case of Infliximab-induced Psoriasis in Treatment of Ankylosing Spondylitis	Infliximab ;  Psoriasis ;  Ankylosing spondylitis
1102	IgA 신병증 환자에서 발생한 신장을 침범한 전신홍반루푸스 = A Case of Systemic Lupus Erythematosus Involving the Kidneys in a Patient with IgA Nephropathy	Systemic Lupus erythematosus ;  Lupus nephritis ;  IgA nephropathy ;  Subacute necrotizing Lymphadenitis
1103	Billroth II 위-공장 문합술을 시행한 환자에서 내시경을 이용하여 치료한 ERCP 관련 천공 1예 = A Case of ERCP-Related Perforation Treated by Endoscopy in a Patient with Billroth II Anastomosis	내시경적 역행성 담췌관조영술 ;  Billroth II 위공장 문합술 ;  내시경 클립 ;  파이브린 글루 ;  endoscopic retrograde cholangiopancreatography ;  Billroth II operation ;  clips ;  fibrin glue
1104	자궁경부암의 단일성 소뇌 전이  :  증례보고 A Case Report = Solitary Cerebellar Metastasis from Primary Uterine Cervical Carcinoma	Solitary Cerebellar Metastasis ;  Uterine Cervical Carcinoma
1105	두덩 부위에만 국한된 원형탈모증 = Short Report : Alopecia Areata Limited to the Pubic Area	Alopecia areata ;  Pubic hair
1106	Epigenetic and Metabolic Changes in Diffuse Intrinsic Pontine Glioma = Epigenetic and Metabolic Changes in Diffuse Intrinsic Pontine Glioma	Epigenomics ;  Metabolomics ;  Therapeutics ;  Diffuse intrinsic pontine glioma ;  Histone code ;  Diffuse midline glioma
1107	임신 중 간의 변화 = Pregnancy and Liver : Changes of liver during pregnancy	Pregnancy ;  Liver dysfunction ;  Physiologic change
1108	유아돌연사증후군과 유전성대사질환 = Sudden Infant Death Syndrome and Inborn Metabolic Disorders	Sudden unexpected deaths in infancy ;  Sudden infant death syndrome ;  Fatty acid oxidation disorders ;  Inherited metabolic disease
1109	다혈관 질환에서 관동맥 중재술과 관동맥 우회로술의 장기 성적 비교：후향적 다기관 연구 = Percutaneous Coronary Intervention versus Coronary Artery Bypass Grafting for Patients with Multivessel Coronary Artery Disease：The Korean Multicenter Revascularization Registry(KORR)	Percutaneous transluminal coronary angioplasty ;  Coronary artery bypass ;  Multicenter study ;  Long-term effects ;  관동맥 중재술 ;  관동맥 우회로술 ;  다기관 연구 ;  장기 예후
1110	P058 : Quality of life assessment in Korean patients with pemphigus = P058 : Quality of life assessment in Korean patients with pemphigus	Pemphigus ;  Quality of life ;  DLQI ;  GHQ-12
1111	Case Report : IgA Nephropathy Encountered in a Patient with Hodgkin Lymphoma	Hematuria ;  Hodgkin Lymphoma ;  IgA nephropathy ;  Lymphadenopathy
1112	[P189] Two cases of intraepidermal carcinoma mimicking seborrheic keratosis clinically and showing Jadassohn phenomenon histopathologically = [P189] Two cases of intraepidermal carcinoma mimicking seborrheic keratosis clinically and showing Jadassohn phenomenon histopathologically	Intraepidermal carcinoma ;  Jadassohn phenomenon ;  Seborrheic keratosis
1113	췌장에 전이된 폐 소세포암 = Metastatic Small Cell Carcinoma of the Pancreas Originating from the Lung	Carcinoma ;  small-cell ;  Lung ;  Pancreas
1114	[P203] Erosive adenomatosis of the nipple in a young man with HIV infection = [P203] Erosive adenomatosis of the nipple in a young man with HIV infection	Adenoma ;  Adenomatosis ;  Erosive adenomatosis of the nipple ;  HIV ;  Nipple
1115	A Very Aggressive Hemangioblastomatosis Without VHL Gene Mutation	Hemangioblastoma ;  VHL gene negative ;  Bevacizumab
1116	Arthroscopic Treatment of Synovial Chondromatosis of the Shoulder Joint with Mini-open Procedure for the Lesions of Biceps Tendon Sheath	견관절 ;  상완 이두건 건초 ;  활액막 연골종증 ;  소절개술
1117	결장경 시행 중 발견된 장 게실염에 의한 방광-S결장루 = Sigmoidovesical Fistula Caused by Diverticulitis Detected with Sigmoidoscopy	Enterovesical fistula ;  Diverticulitis ;  Sigmoidoscopy
1118	결장 및 직장암에서 약년층과 노년층환자에 대한 임상적 고찰 = A Clinical Analysis of Colorectal Cancer in Young and Elderly Patients	Colorectal cancer ;  Young patient ;  Elderly patient
1119	후두개에 발생한 방선균 감염 1례 = Actinomycotic Infection of the Epiglottis: A Case Report and Review	Actinomycosis ;  Epiglottis
1120	한국 성인에서 황열 예방접종 후 발생한 이상반응 = Adverse Events Following Vaccination against Yellow Fever in Korean Adults	Adverse Events ;  Vaccination ;  Yellow Fever ;  Yellow Fever Vaccine
1121	인플루엔자 백신 접종 후 발생한 백혈구 파쇄 혈관염 1예 = Short Report : A Case of Leukocytoclastic Vasculitis after Influenza Vaccination	Influenza vaccination ;  Leukocytoclastic vasculitis
1122	영아에서 림프절의 단독 침범으로 나타난 조직구증 X(호산구성 육아종) = Infantile Solitary Eosinophilic Granuloma of the Lymph Node	Histiocytosis X ;  Eosinophilic granuloma ;  Lymph node
1123	위아전절제술 후 발생한 역행성 공장 - 위중첩증 1 예 = A Case of Retrograde Jejunogastric Intussusception Developed after Subtotal Gastrectomy	Jejunogastric intussusception ;  Laparoscopic reduction
1124	골침습을 동반한 기저세포암 2례 증례보고 = Two Case Reports of Bone-invading Basal Cell Carcinoma	Basal cell carcinoma ;  Bone invasion
1125	외이도에 발생한 다형선종 1예 = A Case of Pleomorphic Adenoma of the External Auditory Canal	다형선종 ;  외이도 ;  Pleomorphic adenoma ;  External auditory canal
1126	Hydroxychloroquine 치료 후 발생한 과다색소침착 = Hydroxychloroquine-induced Cutaneous Hyperpigmentation	Antimalarial ;  Hydroxychroloquine ;  Hyperpigmentation
1127	비특이적 슬관절 활액막염에 의한 다발성 미립체 = A Case of Multiple Rice Bodies by the Nonspecific Synovitis in the Knee Joint	미립체 ;  비특이적 활액막염 ;  슬관절 ;  Rice body ;  Nonspecific synovitis ;  Knee joint
1128	[P037] Cutaneous vasculitis induced by adalimumab = [P037] Cutaneous vasculitis induced by adalimumab	Adalimumab ;  TNF-α antagonist ;  Vasculitis
1129	급성 신손상과 동반된 metformin 관련 중증 유산산증 1예 = A Case of Metformin Associated Severe Lactic Acidosis precipitated by Acute Kidney Injury	Metformin ;  Lactic acidosis ;  Hemodialys ;  Acute kidney injury
1130	정상 혈청 엽산 농도에서 발생한 Sulfasalazine에 의한 거대적아구성 빈혈 = Sulfasalazine-induced Megaloblastic Anemia in Normal Serum Folate Level	Sulfasalazine ;  Megaloblastic anemia ;  Serum folate Level
1131	강직척추염에 동반된 반지모뿔관절염 = A Case of Ankylosing Spondylitis with Cricoarytenoid Arthritis	Spondylitis ;  Ankylosing ;  Arthritis ;  Cricoarytenoid ;  Etanercept
1132	대량의 각혈로 사망한 장티푸스 1예 = A Case of Typhoid Fever Complicated with Massive Fatal Hemoptysis	Typhoid fever ;  Hemoptysis ;  Salmonellosis
1133	식도부식제 손상으로 결장식도 성형술 후 발생한 경부 가성게실과 과잉결장 = Cervical Pseudodiverticulum and an Intra-thoracic Redundant Graft after Coloesophagoplasty for a Corrosive Injury	Esophagoplasty ;  Pseudodiverticulum ;  Colon graft ;  Redundancy ;  식도성형술 ;  가성게실 ;  결장이식 ;  과잉
1134	경구 담도내시경 후 발생한 간내 담도 천공 의증 = A Case of Suspected Intrahepatic Bile Duct Perforation after Direct Peroral Cholangioscopy	경구 담도내시경 ;  기복증 ;  담관 천공 ;  총담관 결석 ;  전기수압쇄석술 ;  Peroral cholangioscopy ;  Pneumoperitoneum ;  Bile duct perforation ;  Common bile duct stone ;  Electrohydraulic lithotripsy
1135	제1요추 골절에 동반된 분리형 척수원추 증후군  :  1례보고 A Case Report = Conus Medullaris Syndrome(isolated type) Associated with L1 Fracture	Conus medullaris syndrome ;  Isolated type ;  Neurologic recovery
1136	마이코플라즈마 폐렴에서 발생한 미만성폐포출혈에 의한 급성호흡부전 1예 = Acute respiratory failure due to diffuse alveolar hemorrhage in mycoplasma pneumonia	마이코플라즈마 폐렴 ;  미만성폐포출혈 ;  급성호흡부전 ;  Diffuse alveolar hemorrhage ;  Mycoplasma pneumonia ;  Acute respiratory failure
1137	혈액투석 중에 발생한 헤파린에 의한 전신 두드러기 = A Case of Generalized Urticaria Induced by Heparin during Hemodialysis	Hypersensitivity ;  Hemodialysis ;  Anticoagulant
1138	IgA 신병증에 합병된 신증후군의 자연관해를 보인 증례보고 = Spontaneous Remission of Nephrotic Syndrome in IgA Nephropathy	IgA nephropathy ;  Nephrotic syndrome ;  Spontaneous remission
1139	소장간막에서 발생한 해면상 림프관종 = A Case of Cavernous Lymphangioma of the Small Bowel Mesentery	Lymphangioma ;  Mesentery ;  Intestine ;  small ;  Neoplasms
1140	완전관해 15년 후에 재발한 미세변화 신증후군 = A Case of Adult-Onset Minimal Change Nephrotic Syndrome Relapsed after 15-year of Complete Remission	Adult-onset minimal change nephrotic syndrome ;  Proteinuria ;  Relapse after complete remission
1141	피부근염 환자에서 발생한 치명적 종격동기흉 = Fatal Pneumomediastinum and Subcutaneous Emphysema in a Patient with Dermatomyositis	Dermatomyositis ;  Pneumomediastinum ;  Pulmonary function test
1142	위암의 피부 전이에 대한 임상 및 병리 조직학적 연구 = A Clinicopathological Analysis of Cutaneous Metastasis from Gastric Cancer in Korea위암의 피부 전이에 대한 임상 및 병리 조직학적 연구	Cutaneous metastasis ;  Gastric adenocarcinoma ;  Gastric cancer
1143	Prevotella bivia Infection Following Supracervical Hysterectomy: Case Report with a Review of Literatures	Prevotella bivia ;  Abscess ;  Supracervical hysterectomy
1144	피부근염 환자에서 발생한 소엽상 지방층염 = A Case of Lobular Panniculitis in Dermatomyositis Patient	Dermatomyositis ;  Panniculitis
1145	Coexistence of parathyroid adenoma and papillary thyroid carcinoma = Coexistence of parathyroid adenoma and papillary thyroid carcinoma	Parathyroid neoplasms ;  Papillary thyroid cancer
1146	Clostridium difficile 감염 환자에서의 감염 후 과민성 장 증후군 = Postinfectious Irritable Bowel Syndrome after Clostridium difficile Infection	과민성 장 증후군 ;  C. difficile 감염 ;  Irritable Bowel Syndrome ;  Clostridium difficile Infection
1147	다발성 흉추간판탈출증  :  2례 증례보고 Report of 2 Cases = Multiple Thoracic Disc Herniations	Multiple thoracic disc herniations ;  Microsurgical posterolateral approach ;  Downbite currette
1148	피부에 침윤된 T세포 림프모구림프종 = A Case of Cutaneous Involvement of T-cell Lymphoblastic Lymphoma	Cutaneous involvement ;  T-cell Lymphoblastic Lymphoma
1149	Remission of Lymphocytic Interstitial Pneumonia in Sjogren`s Syndrome after Autologous Peripheral Blood Stem Cell Transplantation	Sjogren`s syndrome ;  Lymphocytic interstitial pneumonia ;  Stem cell transplantation
1150	다발성 단신경염을 초기증상으로 발현한 전신성 홍반성 루푸스 = A Case of Systemic Lupus Erythematosus Presenting as Mononeuritis Multiplex	Mononeuritis multiplex ;  Systemic Lupus erythematosus
1151	의인성 쿠싱 증후군 환자에서 발생한 Kaposi 육종 = Kaposi`s Sarcoma in a Patient with Iatrogenic Cushing`s Syndrome	Iatrogenic Cushing`s syndrome ;  Kaposi`s sarcoma
1152	베게너육아종증 환자에서 발병된 크립토코쿠스 건초염 = A Case of Cryptococcal Tenosynovitis in a Patient with Wegener`s Granulomatosis	Cryptococcus neoformans ;  Tenosynovitis ;  Wegener`s granulomatosis
1153	요오드화 은 ( AgI ) 에 의해 발생된 에크린 색한증 = A Case of Eccrine Chromhidrosis Caused by Silver lodide	Chromhidrosis ;  Eccrine sweat gland ;  Silver iodide(AgI)
1154	포상 연부 육종 = Metastatic Alveolar Soft Part Sarcoma	Alveolar soft part sarcoma ;  Painless mass ;  Metastasis ;  Radical excision
1155	자궁경부에 발생한 악성 림프종 1 예 = A Case of Malignant Lymphoma originated from uterine cervix	Malignant lymphoma ;  uterine cervix ;  악성 림프종 ;  자궁경부
1156	골수염으로 발현된 재발성 콕시디오이데스 진균증 1예 = Recurrent Coccidioidomycosis Manifesting as Osteomyelitis in Korea	Coccidioidomycosis ;  Recurrence ;  Osteomyelitis ;  Complement fixation test
1157	게실양 식도 천공 1예 = A Case of Diverticuloid Spontaneous Esophageal Rupture게실양 식도 천공 1예	diverticulum ;  Boerhaave`s Syndrome
1158	Relapsed Wilms’ tumor with multiple brain metastasis	Wilms tumor ;  Metastasis ;  Surgery ;  Radiotherapy ;  Chemotherapy
1159	Peripheral T Cell Lymphoma에 선행하여 발생한 호산구성 근막염 유사 반응 = Suspicious Eosinophilic Fasciitis Preceding Peripheral T Cell Lymphoma	Eosinophilia ;  Fasciitis ;  Lymphoma ;  T cell ;  Peripheral
1160	클로스트리디움 디피실리균 감염 후 발생한 반응성 관절염 = A Case of Reactive Arthritis in a Patient with Clostridium Difficile Diarrhea	Clostridium difficile ;  Pseudomembranous colitis ;  Reactive arthritis
1161	전신홍반루푸스에 동반된 IgA 신병증 = A Case of IgA Nephropathy Associated with Systemic Lupus Erythematosus	IgA nephropathy ;  Systemic Lupus erythematosus ;  Non-tuberculous mycobacterium
1162	야간뇨와 호흡곤란으로 발현된 신장을 침범한 특발성 호산구 증가 증후군 = A Case of Idiopathic Hypereosinophilic Syndrome Presenting with Nocturia and Dyspnea	Hypereosinophilic syndrome ;  Nephropathy ;  Gene rearrangement ;  Tyrosine kinase inhibitor
1163	종격동 림프절종대를 동반한 전신성 홍반성 루푸스 = A Case of Systemic Lupus Erythematosus with Mediastinal Lymphadenopathy	Systemic Lupus erythematosus ;  Mediastinal Lymphadenopathy ;  Hematoxylin body
1164	천측두동맥에 발생한 가성동맥류 1예 = A Case of Iatrogenic Pseudoaneurysm of the Superficial Temporal Artery	Pseudoaneurysm ;  Superficial temporal artery ;  Iatrogenic trauma
